2010-01-17T20:10:54+00:00 INFO (6): INDEXING LANGUAGE: ja
2010-01-17T20:10:54+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.search.lucene.charset.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mime.part.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.config.writer.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/project-structure.project.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.sqs.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.form.standardElements.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.json.xml2json.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.node.html
2010-01-17T20:10:55+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.json.advanced.html
2010-01-17T20:10:57+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.findFeeds.html
2010-01-17T20:10:57+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.amf.html
2010-01-17T20:10:57+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.acl.refining.html
2010-01-17T20:10:57+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.loader.autoloader.html
2010-01-17T20:10:58+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.dojo.html
2010-01-17T20:10:58+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.http.client.advanced.html
2010-01-17T20:10:58+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.session.html
2010-01-17T20:10:58+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.openid.consumer.html
2010-01-17T20:10:59+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.date.overview.html
2010-01-17T20:10:59+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.uri.html
2010-01-17T20:11:01+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.strikeiron.advanced-uses.html
2010-01-17T20:11:01+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.date.creation.html
2010-01-17T20:11:01+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.test.html
2010-01-17T20:11:01+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.form.forms.html
2010-01-17T20:11:02+00:00 INFO (6):     Indexing: /manual/1.9/ja/project-structure.html
2010-01-17T20:11:02+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.html
2010-01-17T20:11:02+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.smtp-authentication.html
2010-01-17T20:11:03+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.auth.adapter.ldap.html
2010-01-17T20:11:03+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.session.basic_usage.html
2010-01-17T20:11:03+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tag.html
2010-01-17T20:11:05+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.cache.backends.html
2010-01-17T20:11:05+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.action.html
